"ID","lon","lat"
1,-8.484719,55.001144
2,-8.498937,55.011136
3,-8.493054,55.028708
4,-8.506206,55.029715
5,-8.503574,55.033799
6,-8.493549,55.037679
7,-8.476413,55.027062
8,-8.47634,55.02703
9,-8.467661,55.028455
10,-8.458903,55.028154
11,-8.446497,55.031559
12,-8.439543,55.033741
13,-8.434133,55.038245
14,-8.446763,55.046873
15,-8.441501,55.058253
16,-8.424502,55.055478
17,-8.413536,55.055324
18,-8.405531,55.051347
19,-8.396776,55.057291
20,-8.387014,55.059232
21,-8.395979,55.046313
22,-8.382696,55.047924
23,-8.363358,55.052409
24,-8.375612,55.068088
25,-8.352637,55.064612
26,-8.355694,55.078748
27,-8.357702,55.09587
28,-8.337522,55.098298
29,-8.347652,55.105088
30,-8.356411,55.116269
31,-8.343727,55.114463
32,-8.353079,55.123357
33,-8.363813,55.125814
34,-8.364598,55.122975
35,-8.366992,55.121313
36,-8.376138,55.119584
37,-8.394599,55.121099
38,-8.395457,55.116389
39,-8.393453,55.107455
40,-8.404959,55.106165
41,-8.406922,55.098504
42,-8.401097,55.093325
43,-8.396095,55.099494
44,-8.387124,55.100334
45,-8.387258,55.103463
46,-8.369312,55.100577
47,-8.382782,55.095584
48,-8.389822,55.096842
49,-8.39259,55.092036
50,-8.432557,55.011054
51,-8.437436,55.011533
52,-8.445899,55.01822
53,-8.456052,55.014285
54,-8.462419,55.014714
55,-8.464447,55.0044
56,-8.460724,54.963505
57,-8.460019,54.963645
58,-8.44169,54.902262
59,-8.457695,54.906618
60,-8.468833,54.906325
61,-8.471129,54.918655
62,-8.479164,54.911247
63,-8.500623,54.911815
64,-8.520563,54.917076
65,-8.531696,54.921805
66,-8.526407,54.929751
67,-8.511161,54.920392
68,-8.496893,54.920608
69,-8.485267,54.920387
70,-8.494631,54.927873
71,-8.457643,54.929693
72,-8.463659,54.937842
73,-8.467913,54.946909
74,-8.476221,54.948788
75,-8.489668,54.949692
76,-8.486833,54.963612
77,-8.499484,54.971859
78,-8.507107,54.968882
79,-8.516228,54.972699
80,-8.51331,54.957133
81,-8.514936,54.948659
82,-8.506225,54.944175
83,-8.51023,54.941379
84,-8.503496,54.936239
85,-8.496515,54.936599
86,-8.485893,54.935241
87,-8.517349,54.937356
88,-8.532698,54.94513
89,-8.526902,54.95134
90,-8.542239,54.954954
91,-8.563203,54.956879
92,-8.573862,54.96306
93,-8.58774,54.969726
94,-8.581039,54.972104
95,-8.57422,54.970577
96,-8.568205,54.974183
97,-8.567952,54.969612
98,-8.562626,54.965926
99,-8.550798,54.963918
100,-8.553726,54.970489
101,-8.546467,54.966481
102,-8.541739,54.970255
103,-8.538071,54.965758
104,-8.541526,54.962168
105,-8.531905,54.960336
106,-8.530073,54.966978
107,-8.528478,54.967437
108,-8.526472,54.959816
109,-8.522508,54.963825
110,-8.569421,54.982821
111,-8.568106,54.991734
112,-8.568706,54.995895
113,-8.561781,54.998878
114,-8.559764,54.998353
115,-8.557977,55.007926
116,-8.560776,55.010838
117,-8.572072,55.00642
118,-8.570431,55.015493
119,-8.544276,55.025381
120,-8.434737,55.095462
121,-8.422189,55.08344
122,-8.404826,55.080714
123,-8.394203,55.082824
124,-8.384693,55.08057
125,-8.40084,55.073092
126,-8.399443,55.068571
127,-8.410978,55.067682
128,-8.412183,55.063743
129,-8.447538,55.066938
130,-8.45553,55.062802
131,-8.461821,55.062542
132,-8.468532,55.059929
133,-8.460462,55.055303
134,-8.46006,55.04944
135,-8.464724,55.049723
136,-8.455905,55.048191
137,-8.443265,55.050376
138,-8.439495,55.049421
139,-8.465929,55.0373
140,-8.472183,55.020642
141,-8.481879,55.014821
142,-8.485952,55.010778
143,-8.485512,55.01025
144,-8.514463,55.019686
145,-8.53947,55.022677
146,-8.531381,55.01823
147,-8.527288,55.012586
148,-8.522341,55.012981
149,-8.514743,55.007616
150,-8.503296,55.007327
151,-8.499664,55.003669
152,-8.493418,54.991988
